filename,spanning_pct,rows_count,column_count,total_cells,aspect_ratio,width_added,height_added,is_complex,area_added
000002134416000050_a2015123110-k-t227,0.2037037037037037,12,9,86,2.792723263506064,0,179,1,-909347
000007085816000166_bac-331201610xq-t469,0.37755102040816324,14,7,61,2.444980694980695,0,115,1,-582590
000003799620000010_f1231201910-k-t162,0.2727272727272727,11,7,56,3.0118906064209274,0,212,1,-1076525
000007085816000166_bac-331201610xq-t183,0.3611111111111111,12,9,69,2.792723263506064,0,179,1,-909347
000007085816000166_bac-331201610xq-t232,0.47928994082840237,13,13,88,2.164957264957265,0,48,1,-243168
000007085816000166_bac-331201610xq-t348,0.42424242424242425,33,9,171,1.0861921097770155,1266,100,1,-6925222
000003799620000010_f1231201910-k-t58,0.3492063492063492,7,9,41,4.382352941176471,0,344,1,-1742704
000007085816000166_bac-331201610xq-t138,0.3787878787878788,11,6,41,2.321723189734189,0,87,1,-443275
000009341016000049_cvx-123115x10kdoc-t117,0.3333333333333333,6,7,28,4.956947162426615,0,377,1,-1912415
000007085816000166_bac-331201610xq-t374,0.44,5,5,14,5.692134831460674,0,410,1,-2079593
000003799620000010_f1231201910-k-t290,0.38961038961038963,11,7,47,3.0118906064209274,0,212,1,-1076525
000003799615000064_f0930201510-q-t14,0.4276094276094276,33,9,170,1.041529605263158,1266,50,1,-6671922
000003799615000064_f0930201510-q-t49,0.4564102564102564,15,13,106,2.2964641885766093,0,81,1,-412879
000003799620000010_f1231201910-k-t160,0.26785714285714285,16,7,82,2.164957264957265,0,48,1,-243168
000006480316000074_cvs-20151231x10k-t37,0.1,4,5,18,3.408469945355191,0,257,1,-1284925
000003408819000010_xom10k2018-t101,0.08333333333333333,12,5,55,2.579429735234216,0,142,1,-719372
000003799615000064_f0930201510-q-t20,0.29333333333333333,15,5,53,2.196877710320902,0,56,1,-286229
000007085816000166_bac-331201610xq-t400,0.4442857142857143,28,25,389,0.9906140007821665,1290,0,1,-6599617
000007085816000166_bac-331201610xq-t650,0.2653061224489796,14,7,72,2.444980694980695,0,115,1,-582590
000009341016000049_cvx-123115x10kdoc-t151,0.4152046783625731,18,19,200,1.9499615088529638,1266,617,1,-9541811
